Fecha,Sucursal,Producto,Cantidad,Precio,Vendedor
02/02/2026,Guadalajara Centro ,Café de altura 1kg,9,"$285.00",María Núñez
03-02-2026,Zapopan,Té verde 250g,11,$120.50,José Aguiñaga
2026-02-05,ZAPOPAN,Chocolate de mesa,6,95,jose aguiñaga
06/02/2026,Tlaquepaque,Café descafeinado 500g,,210.00,Ximena Ríos
2026-02-09,Guadalajara Centro,Café de altura 1kg,13,"$285.00",Andrés Peña
2026-02-09,Guadalajara Centro,Café de altura 1kg,13,"$285.00",Andrés Peña
10/02/2026,Tonalá,Té verde 250g,7,120.5,Ximena Ríos
2026-02-12,tlaquepaque,Chocolate de mesa,22,$95.00,María Núñez
13-02-2026,Zapopan,Café de altura 1kg,4,285,José Aguiñaga
2026-02-16,Guadalajara Centro,Café descafeinado 500g,16,"$210.00",Andrés Peña
17/02/2026,Tonalá ,Café de altura 1kg,8,285.00,Ximena Ríos
2026-02-19,Zapopan,Chocolate de mesa,19,95.00,José Aguiñaga
20-02-2026,Guadalajara Centro,Té verde 250g,5,$120.50,María Núñez
2026-02-23,Tlaquepaque,Café de altura 1kg,12,285.00,Andrés Peña
24/02/2026,Tonalá,Café descafeinado 500g,3,210,Ximena Ríos
